Time [s],SDA,SCL
0.000000000,1,1
3.268264792,0,1
3.268269875,0,0
3.268274542,1,0
3.268279333,1,1
3.268284125,1,0
3.268284292,0,0
3.268289333,0,1
3.268294125,0,0
3.268299333,0,1
3.268304125,0,0
3.268309333,0,1
3.268314125,0,0
3.268319333,0,1
3.268324125,0,0
3.268329333,0,1
3.268334125,0,0
3.268339333,0,1
3.268344125,0,0
3.268344417,1,0
3.268349333,1,1
3.268354125,1,0
3.268359333,1,1
3.268364125,1,0
3.268368792,0,0
3.268373792,0,1
3.268379458,1,1
3.268439458,0,1
3.268444500,0,0
3.268449250,1,0
3.268454042,1,1
3.268458833,1,0
3.268459000,0,0
3.268464042,0,1
3.268468833,0,0
3.268474042,0,1
3.268478833,0,0
3.268484042,0,1
3.268488833,0,0
3.268494042,0,1
3.268498833,0,0
3.268504042,0,1
3.268508833,0,0
3.268514042,0,1
3.268518833,0,0
3.268524042,0,1
3.268528833,0,0
3.268529125,1,0
3.268534042,1,1
3.268538833,1,0
3.268543500,0,0
3.268548500,0,1
3.268554167,1,1
3.268619125,0,1
3.268624208,0,0
3.268628875,1,0
3.268633667,1,1
3.268638458,1,0
3.268638625,0,0
3.268643667,0,1
3.268648458,0,0
3.268653667,0,1
3.268658458,0,0
3.268663708,0,1
3.268668458,0,0
3.268673708,0,1
3.268678458,0,0
3.268683708,0,1
3.268688458,0,0
3.268693708,0,1
3.268698458,0,0
3.268703708,0,1
3.268708458,0,0
3.268708750,1,0
3.268713667,1,1
3.268718458,1,0
3.268723167,0,0
3.268728125,0,1
3.268733833,1,1
3.268793792,0,1
3.268798833,0,0
3.268803542,1,0
3.268808333,1,1
3.268813083,1,0
3.268813292,0,0
3.268818333,0,1
3.268823083,0,0
3.268828333,0,1
3.268833083,0,0
3.268838333,0,1
3.268843083,0,0
3.268848333,0,1
3.268853083,0,0
3.268858333,0,1
3.268863083,0,0
3.268868333,0,1
3.268873083,0,0
3.268878333,0,1
3.268883083,0,0
3.268883417,1,0
3.268888333,1,1
3.268893125,1,0
3.268897875,0,0
3.268902833,0,1
3.268908542,1,1
3.268968500,0,1
3.268973542,0,0
3.268978292,1,0
3.268983083,1,1
3.268987875,1,0
3.268988042,0,0
3.268993083,0,1
3.268997875,0,0
3.269003083,0,1
3.269007875,0,0
3.269013083,0,1
3.269017875,0,0
3.269023083,0,1
3.269027875,0,0
3.269033083,0,1
3.269037875,0,0
3.269043083,0,1
3.269047875,0,0
3.269053083,0,1
3.269057875,0,0
3.269058167,1,0
3.269063083,1,1
3.269067875,1,0
3.269072542,0,0
3.269077542,0,1
3.269083250,1,1
3.269183208,0,1
3.269188250,0,0
3.269192917,1,0
3.269197750,1,1
3.269202500,1,0
3.269202708,0,0
3.269207750,0,1
3.269212500,0,0
3.269217750,0,1
3.269222500,0,0
3.269227750,0,1
3.269232500,0,0
3.269237750,0,1
3.269242500,0,0
3.269247750,0,1
3.269252500,0,0
3.269257750,0,1
3.269262500,0,0
3.269267750,0,1
3.269272500,0,0
3.269272833,1,0
3.269277750,1,1
3.269282500,1,0
3.269287208,0,0
3.269292167,0,1
3.269297875,1,1
3.269397833,0,1
3.269402917,0,0
3.269407583,1,0
3.269412375,1,1
3.269417167,1,0
3.269417333,0,0
3.269422375,0,1
3.269427167,0,0
3.269432375,0,1
3.269437167,0,0
3.269442375,0,1
3.269447167,0,0
3.269452375,0,1
3.269457167,0,0
3.269462375,0,1
3.269467167,0,0
3.269472375,0,1
3.269477167,0,0
3.269482375,0,1
3.269487167,0,0
3.269487458,1,0
3.269492375,1,1
3.269497167,1,0
3.269501833,0,0
3.269506833,0,1
3.269512542,1,1
5.269808542,0,1
5.269813625,0,0
5.269818292,1,0
5.269823083,1,1
5.269827875,1,0
5.269828042,0,0
5.269833083,0,1
5.269837875,0,0
5.269843083,0,1
5.269847875,0,0
5.269853083,0,1
5.269857875,0,0
5.269863083,0,1
5.269867875,0,0
5.269873083,0,1
5.269877875,0,0
5.269883083,0,1
5.269887875,0,0
5.269893083,0,1
5.269897875,0,0
5.269898167,1,0
5.269903083,1,1
5.269907875,1,0
5.269912542,0,0
5.269917542,0,1
5.269923208,1,1
5.270023208,0,1
5.270028250,0,0
5.270032917,1,0
5.270037708,1,1
5.270042500,1,0
5.270042708,0,0
5.270047750,0,1
5.270052500,0,0
5.270057750,0,1
5.270062500,0,0
5.270067750,0,1
5.270072500,0,0
5.270077750,0,1
5.270082500,0,0
